reward,cumulative_regret
0.12,0.38
0.26,0.62
0.3,0.8200000000000001
0.51,0.81
0.51,0.8
0.28,1.02
0.42,1.1
0.26,1.34
0.36,1.48
0.38,1.6
0.32,1.78
0.36,1.92
0.29,2.13
0.34,2.29
0.4,2.39
0.3,2.5900000000000003
0.28,2.8100000000000005
0.3,3.0100000000000007
0.35,3.1600000000000006
0.42,3.2400000000000007
0.36,3.380000000000001
0.43,3.4500000000000006
0.42,3.5300000000000007
0.47,3.5600000000000005
0.3,3.7600000000000007
0.47,3.790000000000001
0.37,3.920000000000001
0.26,4.160000000000001
0.36,4.300000000000001
0.39,4.410000000000001
0.4,4.510000000000001
0.33,4.680000000000001
0.42,4.760000000000001
0.39,4.870000000000001
0.34,5.030000000000001
0.32,5.210000000000001
0.38,5.330000000000001
0.33,5.500000000000001
0.37,5.630000000000001
0.31,5.820000000000001
0.4,5.920000000000001
0.4,6.0200000000000005
0.47,6.050000000000001
0.38,6.170000000000001
0.42,6.250000000000001
0.41,6.340000000000001
0.33,6.510000000000001
0.39,6.620000000000001
0.39,6.730000000000001
0.39,6.840000000000002
0.35,6.990000000000002
0.44,7.050000000000002
0.33,7.2200000000000015
0.44,7.280000000000001
0.38,7.400000000000001
0.28,7.620000000000001
0.44,7.680000000000001
0.43,7.750000000000001
0.39,7.860000000000001
0.33,8.030000000000001
0.41,8.120000000000001
0.37,8.250000000000002
0.31,8.440000000000001
0.34,8.600000000000001
0.39,8.71
0.45,8.760000000000002
0.37,8.890000000000002
0.34,9.050000000000002
0.43,9.120000000000003
0.37,9.250000000000004
0.37,9.380000000000004
0.31,9.570000000000004
0.45,9.620000000000005
0.4,9.720000000000004
0.45,9.770000000000005
0.31,9.960000000000004
0.44,10.020000000000005
0.35,10.170000000000005
0.42,10.250000000000005
0.35,10.400000000000006
0.4,10.500000000000005
0.48,10.520000000000005
0.44,10.580000000000005
0.36,10.720000000000006
0.42,10.800000000000006
0.37,10.930000000000007
0.3,11.130000000000006
0.4,11.230000000000006
0.43,11.300000000000006
