reward,cumulative_regret
0.09,0.41000000000000003
0.26,0.65
0.3,0.8500000000000001
0.51,0.8400000000000001
0.54,0.8
0.3,1.0
0.32,1.18
0.27,1.41
0.26,1.65
0.33,1.8199999999999998
0.36,1.96
0.4,2.06
0.27,2.29
0.32,2.47
0.33,2.64
0.3,2.8400000000000003
0.28,3.0600000000000005
0.35,3.2100000000000004
0.44,3.2700000000000005
0.31,3.4600000000000004
0.31,3.6500000000000004
0.39,3.7600000000000002
0.33,3.93
0.35,4.08
0.38,4.2
0.42,4.28
0.35,4.430000000000001
0.31,4.620000000000001
0.36,4.760000000000001
0.24,5.0200000000000005
0.46,5.0600000000000005
0.36,5.2
0.4,5.3
0.31,5.49
0.39,5.6000000000000005
0.31,5.790000000000001
0.37,5.920000000000001
0.33,6.090000000000001
0.34,6.250000000000001
0.36,6.390000000000001
0.4,6.49
0.32,6.67
0.35,6.82
0.36,6.96
0.27,7.1899999999999995
0.35,7.34
0.35,7.49
0.46,7.53
0.39,7.640000000000001
0.45,7.69
0.33,7.86
0.35,8.01
0.32,8.19
0.29,8.4
0.34,8.56
0.37,8.690000000000001
0.36,8.830000000000002
0.39,8.940000000000001
0.34,9.100000000000001
0.39,9.21
0.36,9.350000000000001
0.32,9.530000000000001
0.41,9.620000000000001
0.39,9.73
0.34,9.89
0.35,10.040000000000001
0.48,10.06
0.42,10.14
0.38,10.26
0.39,10.37
0.35,10.52
0.3,10.719999999999999
0.3,10.919999999999998
0.36,11.059999999999999
0.41,11.149999999999999
0.29,11.36
0.49,11.37
0.27,11.6
0.39,11.709999999999999
0.38,11.829999999999998
0.33,11.999999999999998
0.38,12.119999999999997
0.36,12.259999999999998
0.38,12.379999999999997
0.32,12.559999999999997
0.38,12.679999999999996
0.29,12.889999999999997
0.38,13.009999999999996
0.34,13.169999999999996
0.38,13.289999999999996
0.44,13.349999999999996
0.38,13.469999999999995
0.41,13.559999999999995
0.32,13.739999999999995
0.42,13.819999999999995
0.35,13.969999999999995
0.4,14.069999999999995
0.38,14.189999999999994
0.27,14.419999999999995
0.38,14.539999999999994
0.38,14.659999999999993
0.39,14.769999999999992
0.34,14.929999999999993
0.42,15.009999999999993
0.39,15.119999999999992
0.37,15.249999999999993
0.4,15.349999999999993
0.34,15.509999999999993
0.41,15.599999999999993
0.44,15.659999999999993
0.39,15.769999999999992
0.37,15.899999999999993
0.37,16.029999999999994
0.38,16.149999999999995
0.38,16.269999999999996
0.39,16.379999999999995
0.42,16.459999999999994
0.37,16.589999999999993
0.43,16.659999999999993
0.4,16.759999999999994
0.34,16.919999999999995
0.39,17.029999999999994
0.36,17.169999999999995
0.35,17.319999999999993
0.48,17.339999999999993
0.37,17.46999999999999
0.4,17.569999999999993
0.39,17.679999999999993
0.43,17.749999999999993
0.45,17.799999999999994
0.4,17.899999999999995
0.45,17.949999999999996
0.29,18.159999999999997
0.45,18.209999999999997
0.34,18.369999999999997
0.32,18.549999999999997
0.3,18.749999999999996
0.35,18.899999999999995
0.32,19.079999999999995
0.31,19.269999999999996
0.39,19.379999999999995
0.41,19.469999999999995
0.38,19.589999999999996
0.34,19.749999999999996
0.37,19.879999999999995
0.44,19.939999999999994
0.39,20.049999999999994
0.33,20.219999999999995
0.39,20.329999999999995
0.47,20.359999999999996
0.42,20.439999999999994
0.38,20.559999999999995
0.35,20.709999999999994
0.36,20.849999999999994
0.41,20.939999999999994
0.45,20.989999999999995
0.35,21.139999999999993
0.28,21.359999999999992
0.36,21.499999999999993
0.43,21.569999999999993
0.35,21.71999999999999
0.38,21.839999999999993
0.34,21.999999999999993
0.43,22.069999999999993
0.43,22.139999999999993
0.43,22.209999999999994
0.35,22.359999999999992
0.36,22.499999999999993
0.35,22.64999999999999
0.38,22.769999999999992
0.42,22.84999999999999
0.38,22.96999999999999
0.44,23.02999999999999
0.38,23.14999999999999
0.43,23.21999999999999
0.4,23.319999999999993
0.46,23.359999999999992
0.36,23.499999999999993
0.39,23.609999999999992
0.33,23.779999999999994
0.49,23.789999999999996
0.45,23.839999999999996
0.42,23.919999999999995
0.35,24.069999999999993
0.41,24.159999999999993
0.42,24.23999999999999
0.34,24.39999999999999
0.37,24.52999999999999
0.37,24.65999999999999
0.37,24.78999999999999
0.34,24.94999999999999
0.39,25.059999999999988
0.33,25.22999999999999
0.44,25.28999999999999
0.4,25.38999999999999
0.42,25.469999999999988
0.4,25.56999999999999
0.41,25.65999999999999
0.4,25.75999999999999
0.45,25.80999999999999
0.33,25.979999999999993
0.35,26.129999999999992
0.35,26.27999999999999
0.44,26.33999999999999
0.34,26.49999999999999
0.39,26.60999999999999
0.39,26.719999999999988
0.42,26.799999999999986
0.39,26.909999999999986
0.45,26.959999999999987
0.41,27.049999999999986
0.41,27.139999999999986
0.46,27.179999999999986
0.5,27.179999999999986
0.36,27.319999999999986
0.34,27.479999999999986
0.38,27.599999999999987
0.35,27.749999999999986
0.37,27.879999999999985
0.33,28.049999999999986
0.38,28.169999999999987
0.36,28.309999999999988
0.33,28.47999999999999
0.37,28.60999999999999
0.36,28.74999999999999
0.44,28.809999999999988
0.38,28.92999999999999
0.41,29.01999999999999
0.55,28.969999999999988
0.4,29.06999999999999
0.37,29.19999999999999
0.46,29.239999999999988
0.36,29.37999999999999
0.41,29.469999999999988
0.29,29.67999999999999
0.39,29.78999999999999
0.42,29.869999999999987
0.43,29.939999999999987
0.44,29.999999999999986
0.39,30.109999999999985
0.35,30.259999999999984
0.43,30.329999999999984
0.43,30.399999999999984
0.36,30.539999999999985
0.38,30.659999999999986
0.47,30.689999999999987
0.42,30.769999999999985
0.36,30.909999999999986
0.32,31.089999999999986
0.44,31.149999999999984
0.41,31.239999999999984
0.41,31.329999999999984
0.48,31.349999999999984
0.4,31.449999999999985
0.4,31.549999999999986
0.45,31.599999999999987
0.5,31.599999999999987
0.36,31.739999999999988
0.35,31.889999999999986
0.33,32.05999999999999
0.42,32.139999999999986
0.44,32.19999999999999
0.37,32.32999999999999
0.4,32.42999999999999
0.42,32.50999999999999
0.34,32.66999999999999
0.37,32.79999999999999
0.42,32.87999999999999
0.44,32.93999999999999
0.3,33.13999999999999
0.4,33.239999999999995
0.54,33.199999999999996
0.47,33.23
0.37,33.36
0.34,33.519999999999996
0.37,33.65
0.34,33.809999999999995
0.41,33.9
0.41,33.99
0.34,34.15
0.39,34.26
0.47,34.29
0.4,34.39
0.38,34.51
0.35,34.66
0.42,34.739999999999995
0.47,34.769999999999996
0.36,34.91
0.42,34.989999999999995
0.39,35.099999999999994
0.31,35.28999999999999
0.4,35.38999999999999
0.38,35.50999999999999
0.33,35.67999999999999
0.48,35.699999999999996
0.37,35.83
0.34,35.989999999999995
0.41,36.08
0.47,36.11
0.39,36.22
0.38,36.339999999999996
0.44,36.4
0.45,36.449999999999996
0.51,36.44
0.45,36.489999999999995
0.4,36.589999999999996
0.42,36.669999999999995
0.37,36.8
0.47,36.83
0.43,36.9
0.38,37.019999999999996
0.42,37.099999999999994
0.34,37.25999999999999
0.41,37.349999999999994
0.34,37.50999999999999
0.4,37.60999999999999
0.44,37.669999999999995
0.41,37.76
0.49,37.769999999999996
0.44,37.83
0.37,37.96
0.48,37.980000000000004
0.3,38.18000000000001
0.43,38.25000000000001
0.31,38.440000000000005
0.4,38.540000000000006
0.48,38.56000000000001
0.47,38.59000000000001
0.35,38.74000000000001
0.31,38.93000000000001
0.42,39.010000000000005
0.38,39.13
0.33,39.300000000000004
0.4,39.400000000000006
0.43,39.470000000000006
0.39,39.580000000000005
0.44,39.64000000000001
0.39,39.75000000000001
0.37,39.88000000000001
0.39,39.99000000000001
0.46,40.03000000000001
0.38,40.150000000000006
0.46,40.190000000000005
0.46,40.230000000000004
0.44,40.290000000000006
0.35,40.440000000000005
0.47,40.470000000000006
0.36,40.61000000000001
0.4,40.71000000000001
0.35,40.86000000000001
0.38,40.980000000000004
0.45,41.03
0.39,41.14
0.47,41.17
0.4,41.27
0.42,41.35
0.44,41.410000000000004
0.57,41.34
0.42,41.42
0.29,41.63
0.39,41.74
0.41,41.830000000000005
0.36,41.970000000000006
0.43,42.040000000000006
0.43,42.11000000000001
0.43,42.18000000000001
0.37,42.31000000000001
0.35,42.46000000000001
0.49,42.470000000000006
0.35,42.620000000000005
0.38,42.74
0.46,42.78
