reward,cumulative_regret
0.09,0.41000000000000003
0.07,0.8400000000000001
0.1,1.2400000000000002
0.13,1.6100000000000003
0.07,2.0400000000000005
0.12,2.4200000000000004
0.07,2.8500000000000005
0.12,3.2300000000000004
0.08,3.6500000000000004
0.09,4.0600000000000005
0.08,4.48
0.09,4.890000000000001
0.1,5.290000000000001
0.13,5.660000000000001
0.13,6.030000000000001
0.08,6.450000000000001
0.13,6.820000000000001
0.11,7.210000000000001
0.1,7.610000000000001
0.19,7.920000000000001
0.12,8.3
0.12,8.680000000000001
0.18,9.000000000000002
0.1,9.400000000000002
0.09,9.810000000000002
0.14,10.170000000000002
0.16,10.510000000000002
0.18,10.830000000000002
0.11,11.220000000000002
0.09,11.630000000000003
0.11,12.020000000000003
0.11,12.410000000000004
0.13,12.780000000000003
0.1,13.180000000000003
0.07,13.610000000000003
0.13,13.980000000000002
0.11,14.370000000000003
0.17,14.700000000000003
0.07,15.130000000000003
0.13,15.500000000000002
0.12,15.880000000000003
0.16,16.220000000000002
0.1,16.62
0.13,16.990000000000002
0.14,17.35
0.11,17.740000000000002
0.17,18.07
0.07,18.5
0.11,18.89
0.15,19.240000000000002
0.12,19.62
0.16,19.96
0.1,20.36
0.15,20.71
0.13,21.080000000000002
0.12,21.46
0.16,21.8
0.14,22.16
0.13,22.53
0.11,22.92
0.14,23.28
0.16,23.62
0.13,23.990000000000002
0.15,24.340000000000003
0.1,24.740000000000002
0.15,25.090000000000003
0.08,25.510000000000005
0.18,25.830000000000005
0.08,26.250000000000007
0.16,26.590000000000007
0.13,26.960000000000008
0.17,27.290000000000006
0.12,27.670000000000005
0.13,28.040000000000006
0.21,28.330000000000005
0.16,28.670000000000005
0.23,28.940000000000005
0.11,29.330000000000005
0.13,29.700000000000006
0.27,29.930000000000007
0.16,30.270000000000007
0.14,30.630000000000006
0.1,31.030000000000005
0.18,31.350000000000005
0.2,31.650000000000006
0.15,32.00000000000001
0.13,32.370000000000005
0.1,32.77
0.16,33.11000000000001
0.18,33.43000000000001
0.15,33.78000000000001
0.2,34.080000000000005
0.15,34.43000000000001
0.14,34.790000000000006
0.18,35.11000000000001
0.14,35.470000000000006
0.14,35.830000000000005
0.18,36.150000000000006
0.18,36.470000000000006
0.16,36.81000000000001
0.16,37.15000000000001
0.14,37.51000000000001
0.16,37.850000000000016
0.17,38.180000000000014
0.25,38.430000000000014
0.15,38.780000000000015
